date, venue, home, away, hscore, ascore, hpens, apens, winner
25 Jun 1998,Nantes ,USA,Yugoslavia,0,1,NA,NA,Yugoslavia
15 Jun 1998,Lyon ,Romania,Colombia,1,0,NA,NA,Romania
15 Jun 1998,Marseilles ,England,Tunisia,2,0,NA,NA,England
22 Jun 1998,Montpellier ,Colombia,Tunisia,1,0,NA,NA,Colombia
22 Jun 1998,Toulouse ,Romania,England,2,1,NA,NA,Romania
26 Jun 1998,Saint-Denis ,Romania,Tunisia,1,1,NA,NA,D
26 Jun 1998,Lens ,Colombia,England,0,2,NA,NA,England
14 Jun 1998,Lens ,Jamaica,Croatia,1,3,NA,NA,Croatia
14 Jun 1998,Toulouse ,Argentina,Japan,1,0,NA,NA,Argentina
20 Jun 1998,Nantes ,Japan,Croatia,0,1,NA,NA,Croatia
21 Jun 1998,Paris ,Argentina,Jamaica,5,0,NA,NA,Argentina
26 Jun 1998,Lyon ,Japan,Jamaica,1,2,NA,NA,Jamaica
26 Jun 1998,Bordeaux ,Argentina,Croatia,1,0,NA,NA,Argentina
27 Jun 1998,Paris ,Brazil,Chile,4,1,NA,NA,Brazil
27 Jun 1998,Marseilles ,Italy,Norway,1,0,NA,NA,Italy
28 Jun 1998,Saint-Denis ,Nigeria,Denmark,1,4,NA,NA,Denmark
28 Jun 1998,Lens ,France,Paraguay,1,0,NA,NA,France
29 Jun 1998,Montpellier ,Germany,Mexico,2,1,NA,NA,Germany
29 Jun 1998,Toulouse ,Netherlands,Yugoslavia,2,1,NA,NA,Netherlands
30 Jun 1998,St. Etienne ,Argentina,England,2,2,4,3,Argentina
30 Jun 1998,Bordeaux ,Romania,Croatia,0,1,NA,NA,Croatia
03 Jul 1998,Saint-Denis ,Italy,France,0,0,3,4,France
03 Jul 1998,Nantes ,Brazil,Denmark,3,2,NA,NA,Brazil
04 Jul 1998,Lyon ,Germany,Croatia,0,3,NA,NA,Croatia
04 Jul 1998,Marseilles ,Netherlands,Argentina,2,1,NA,NA,Netherlands
07 Jul 1998,Marseilles ,Brazil,Netherlands,1,1,4,2,Brazil
08 Jul 1998,Saint-Denis ,France,Croatia,2,1,NA,NA,France
11 Jul 1998,Paris ,Netherlands,Croatia,1,2,NA,NA,Croatia
12 Jul 1998,Saint-Denis ,Brazil,France,0,3,NA,NA,France
31 May 2002,Seoul ,France,Senegal,0,1,NA,NA,Senegal
01 Jun 2002,Ulsan ,Uruguay,Denmark,1,2,NA,NA,Denmark
06 Jun 2002,Busan ,France,Uruguay,0,0,NA,NA,D
06 Jun 2002,Daegu ,Denmark,Senegal,1,1,NA,NA,D
11 Jun 2002,Incheon ,Denmark,France,2,0,NA,NA,Denmark
11 Jun 2002,Suwon ,Senegal,Uruguay,3,3,NA,NA,D
02 Jun 2002,Busan ,Paraguay,South Africa,2,2,NA,NA,D
02 Jun 2002,Gwangju ,Spain,Slovenia,3,1,NA,NA,Spain
07 Jun 2002,Jeonju ,Spain,Paraguay,3,1,NA,NA,Spain
08 Jun 2002,Daegu ,South Africa,Slovenia,1,0,NA,NA,South Africa
12 Jun 2002,Daejeon ,South Africa,Spain,2,3,NA,NA,Spain
12 Jun 2002,Jeju ,Slovenia,Paraguay,1,3,NA,NA,Paraguay
03 Jun 2002,Ulsan ,Brazil,Turkey,2,1,NA,NA,Brazil
04 Jun 2002,Gwangju ,China PR,Costa Rica,0,2,NA,NA,Costa Rica
08 Jun 2002,Jeju ,Brazil,China PR,4,0,NA,NA,Brazil
09 Jun 2002,Incheon ,Costa Rica,Turkey,1,1,NA,NA,D
13 Jun 2002,Suwon ,Costa Rica,Brazil,2,5,NA,NA,Brazil
13 Jun 2002,Seoul ,Turkey,China PR,3,0,NA,NA,Turkey
04 Jun 2002,Busan ,Korea Republic,Poland,2,0,NA,NA,Korea Republic
05 Jun 2002,Suwon ,USA,Portugal,3,2,NA,NA,USA
10 Jun 2002,Daegu ,Korea Republic,USA,1,1,NA,NA,D
10 Jun 2002,Jeonju ,Portugal,Poland,4,0,NA,NA,Portugal
14 Jun 2002,Incheon ,Portugal,Korea Republic,0,1,NA,NA,Korea Republic
14 Jun 2002,Daejeon ,Poland,USA,3,1,NA,NA,Poland
01 Jun 2002,Niigata ,Republic of Ireland,Cameroon,1,1,NA,NA,D
01 Jun 2002,Sapporo ,Germany,Saudi Arabia,8,0,NA,NA,Germany
05 Jun 2002,Ibaraki ,Germany,Republic of Ireland,1,1,NA,NA,D
06 Jun 2002,Saitama ,Cameroon,Saudi Arabia,1,0,NA,NA,Cameroon
11 Jun 2002,Shizuoka ,Cameroon,Germany,0,2,NA,NA,Germany
11 Jun 2002,Yokohama ,Saudi Arabia,Republic of Ireland,0,3,NA,NA,Republic of Ireland
02 Jun 2002,Saitama ,England,Sweden,1,1,NA,NA,D
02 Jun 2002,Ibaraki ,Argentina,Nigeria,1,0,NA,NA,Argentina
07 Jun 2002,Kobe ,Sweden,Nigeria,2,1,NA,NA,Sweden
07 Jun 2002,Sapporo ,Argentina,England,0,1,NA,NA,England
12 Jun 2002,Miyagi ,Sweden,Argentina,1,1,NA,NA,D
12 Jun 2002,Osaka ,Nigeria,England,0,0,NA,NA,D
03 Jun 2002,Niigata ,Croatia,Mexico,0,1,NA,NA,Mexico
03 Jun 2002,Sapporo ,Italy,Ecuador,2,0,NA,NA,Italy
08 Jun 2002,Ibaraki ,Italy,Croatia,1,2,NA,NA,Croatia
09 Jun 2002,Miyagi ,Mexico,Ecuador,2,1,NA,NA,Mexico
13 Jun 2002,Oita ,Mexico,Italy,1,1,NA,NA,D
13 Jun 2002,Yokohama ,Ecuador,Croatia,1,0,NA,NA,Ecuador
04 Jun 2002,Saitama ,Japan,Belgium,2,2,NA,NA,D
05 Jun 2002,Kobe ,Russia,Tunisia,2,0,NA,NA,Russia
09 Jun 2002,Yokohama ,Japan,Russia,1,0,NA,NA,Japan
10 Jun 2002,Oita ,Tunisia,Belgium,1,1,NA,NA,D
14 Jun 2002,Osaka ,Tunisia,Japan,0,2,NA,NA,Japan
14 Jun 2002,Shizuoka ,Belgium,Russia,3,2,NA,NA,Belgium
15 Jun 2002,Jeju ,Germany,Paraguay,1,0,NA,NA,Germany
15 Jun 2002,Niigata ,Denmark,England,0,3,NA,NA,England
16 Jun 2002,Oita ,Sweden,Senegal,1,2,NA,NA,Senegal
16 Jun 2002,Suwon ,Spain,Republic of Ireland,1,1,3,2,Spain
17 Jun 2002,Jeonju ,Mexico,USA,0,2,NA,NA,USA
17 Jun 2002,Kobe ,Brazil,Belgium,2,0,NA,NA,Brazil
18 Jun 2002,Miyagi ,Japan,Turkey,0,1,NA,NA,Turkey
18 Jun 2002,Daejeon ,Korea Republic,Italy,2,1,NA,NA,Korea Republic
21 Jun 2002,Shizuoka ,England,Brazil,1,2,NA,NA,Brazil
21 Jun 2002,Ulsan ,Germany,USA,1,0,NA,NA,Germany
22 Jun 2002,Gwangju ,Spain,Korea Republic,0,0,3,5,Korea Republic
22 Jun 2002,Osaka ,Senegal,Turkey,0,1,NA,NA,Turkey
25 Jun 2002,Seoul ,Germany,Korea Republic,1,0,NA,NA,Germany
26 Jun 2002,Saitama ,Brazil,Turkey,1,0,NA,NA,Brazil
29 Jun 2002,Daegu ,Korea Republic,Turkey,2,3,NA,NA,Turkey
30 Jun 2002,Yokohama ,Germany,Brazil,0,2,NA,NA,Brazil
09 Jun 2006,Munich ,Germany,Costa Rica,4,2,NA,NA,Germany
09 Jun 2006,Gelsenkirchen ,Poland,Ecuador,0,2,NA,NA,Ecuador
14 Jun 2006,Dortmund ,Germany,Poland,1,0,NA,NA,Germany
15 Jun 2006,Hamburg ,Ecuador,Costa Rica,3,0,NA,NA,Ecuador
20 Jun 2006,Berlin ,Ecuador,Germany,0,3,NA,NA,Germany
20 Jun 2006,Hanover ,Costa Rica,Poland,1,2,NA,NA,Poland
10 Jun 2006,Frankfurt/Main ,England,Paraguay,1,0,NA,NA,England
10 Jun 2006,Dortmund ,Trinidad and Tobago,Sweden,0,0,NA,NA,D
15 Jun 2006,Nuremberg ,England,Trinidad and Tobago,2,0,NA,NA,England
15 Jun 2006,Berlin ,Sweden,Paraguay,1,0,NA,NA,Sweden
20 Jun 2006,Cologne ,Sweden,England,2,2,NA,NA,D
20 Jun 2006,Kaiserslautern ,Paraguay,Trinidad and Tobago,2,0,NA,NA,Paraguay
10 Jun 2006,Hamburg ,Argentina,Cte d'Ivoire,2,1,NA,NA,Argentina
11 Jun 2006,Leipzig ,Serbia and Montenegro,Netherlands,0,1,NA,NA,Netherlands
16 Jun 2006,Gelsenkirchen ,Argentina,Serbia and Montenegro,6,0,NA,NA,Argentina
16 Jun 2006,Stuttgart ,Netherlands,Cte d'Ivoire,2,1,NA,NA,Netherlands
